CA13,LRP11,BUB1B,TMEM255B
PRKAR2B,DST,LEPROTL1,HSPA1L
ATAD5,KLF9,METTL21B,DYRK3
KLHL23,AGRN,NIPAL1,ETV5
SEPT3,DUSP16,ACTR1B,GTF2F2
ARID5B,MOXD1,DSE,TNPO1
LRBA,NBPF9,LTBP2,LARP4
ERAP1,FAM60A,ADARB1,MAPK6
MMP15,ZNF718,ZNF365,FZD7
DPYSL2,TSPYL2,STEAP2,Blank-0240
AMPH,IER5,MRPS23,COX4I1
KIAA1161,NIPAL3,DOLK,SLC2A12
PELI2,TNFAIP3,CDK6,NCF2
NR2F2,ESPL1,Blank-9253,Blank-0842
CCND3,JAK3,LRRC15,APBB2
RAPGEF5,ZSWIM4,PDE10A,FADS2
ABI2,PDZRN3,CALCOCO1,CCNG2
PWAR5,FAM214A,NABP1,DCST2
SH3RF1,RPL4P6,C3,DCAF4L1
OAF,DFNA5,PAX9,ZSCAN12P1
HSP90AB6P,ARC,SSU72,PLA2G4A
PDGFRB,FAM198B,TBC1D4,GRM2
TGFB2,SUSD6,PMEPA1,ACSL4
NCOA7,CA11,CFAP97,PILRB
FOXO1,SPSB2,KIF4B,NOS1
DOCK5,NAIP,PLEKHA2,A4GALT
EPHA2,NFYA,KCTD14,MGEA5
CCDC14,TRIM54,QRFPR,CENPCP1
EPDR1,PCNAP3,RPL14,TMCC2
UNK,SMAD6,CTNNAL1,WDR55
RASSF2,BSDC1,EPAS1,RTKN2
GNG11,DNAJB9,GALC,JADE1
CD1D,CCND3,CBX2,Blank-0182
KRT18P41,PAG1,SEMA7A,MYLIP
NUAK1,CAMTA1,HSPA8P9,ISG20
ZNF300,SPRED3,UNG,PPP2CB
JPH1,NSUN5P1,SFRP1,PTP4A1
CDK6,ZNF281,CORO1C,TLDC1
SAV1,CD109,PHLDA1,DDX21
BNIP3L,C3orf67,CCRN4L,TRHDE
SLC16A7,SMTN,SLA,FDXACB1
JAM3,TCHH,C12orf49,Blank-2230
INSR,SESN2,HTR7P1,DPYD
FAM210B,RORA,TYW3,FAM118A
TOR3A,HRK,SPSB1,LIFR
FAM81A,PLD1,MSI1,GEM
NFIX,ZNF300,IRS1,B3GNTL1
CTSB,TPP1,FAM195A,FAM167A
ZNF483,FBXW7,ZNF385B,HMGA2
ZFP14,GAPDHP47,RNF144B,FAM46B
PASK,RAP2B,RBM45,WDFY1
ILDR2,PAXBP1,TRIB3,ANKRD11
COL11A1,PTPRH,PDLIM2,PTPRM
AK3,MXD1,SALL4,UACA
ERRFI1,ADAM32,DMKN,GNB1L
MCM10,NAALAD2,LYPD3,UHRF1BP1
PDGFB,MROH1,HAPLN1,ZNF519
GAREML,TLR1,DBP,NET1
HELLS,PABPC1L,COL12A1,NR1D1
TNIK,CCDC169,PGF,TSPAN14
GABRB2,MLLT10,CYP4F22,MGLL
HECA,MTURN,AFAP1,FAM196B
NES,CTIF,ORC1,RSF1
RTN4R,CDKN3,BARX2,Blank-0749
CARD11,IRF2BPL,STARD5,SPIRE1
IKZF2,LAMP3,NEU1,BMPER
FAM65B,SYNE1,FAM84B,C12orf49
COL13A1,SCEL,CRTAP,NSDHL
SIX2,BEX4,COLGALT1,THOC5
CSDC2,SPC25,CHST14,LRRN1
GLI2,MYEF2,DCLK1,NBPF9
AFF1,ARHGAP42,PFKFB3,VAT1L
SALL1P1,C1QTNF6,CKAP5,XYLT1
PPP1R16B,KLHL30,UNC119,VAPA
TCP11L1,GYPE,FAM102B,C6orf120
RAB3B,FAM46A,MN1,PIP4K2A
ZMIZ1,OXGR1,RHOV,RYR1
SDC2,ARHGAP21,FBXW10,PPHLN1
TRIM58,TCP11L1,CAV1,MAP1B
BBX,VGF,TAP2,AFAP1
THBS4,POTEI,PPAP2B,FAM210A
LNPEP,NSUN6,OASL,TRIP12
ADGRB1,STXBP1,SLC12A2,ZNF280A
LUCAT1,HOXA3,LOXL2,PDK4
ANO5,C10orf10,NGFR,FAM43A
SLC25A3P2,CDKN2C,AGPAT9,PRELP
ADAMTS16,IGSF10,USP3,EPHA8
FGD4,ASS1P12,DCAF12L1,POM121C
TRIM2,CHMP1B,SGTB,LEPROTL1
EFNB3,RPRD1A,CENPF,RIN3
CCDC85A,MEX3B,Blank-2373,CSGALNACT1
TUBB4A,PLTP,UHRF1,SMIM8
ADGRG2,NFKBIE,BRINP1,ZNF792
PPP1R9A,AKT1S1,CCT5,SP6
HRH4,HERC3,LRRC8D,ZNF697
VASH1,EPG5,TAS2R4,PRICKLE2
ESCO2,HEPHL1,MLKL,CHAC1
COL4A2,OAF,NARF,ETS2
EIF4A2P3,E2F2,GUSBP5,SLAMF9
DGKK,ALDH3B1,KLHL21,TYW3
TMEM56,ABCB4,HSPA5,KNDC1
TTYH2,PHLDA3,MCM10,Blank-2428
AKAP5,IL2RB,PKI55,ZNF225
TMTC2,C11orf71,SLC9A7,CPED1
USP53,BAZ2B,RANBP6,RAPGEFL1
ZNF662,FGFR1OP,DSEL,ZNF165
SFRP1,IKBKE,CASP3,PNPT1
C8orf4,ANXA3,Blank-1329,ZKSCAN3
TMEM47,DCP1B,ATP5G1,H2AFV
PTGFRN,PER1,SIX1,DDR2
YPEL2,PCID2,SNRPD1,ZBTB10
OSBPL10,PSMA2P2,BAZ1A,KLHL24
KIAA1841,EMP2,BEND7,MYL6
DPY19L2P2,Blank-1805,SPARC,UBXN6
PDP1,SYNE2,ITGA6,ZNF608
FBN1,DRAM1,DAAM2,ALOXE3
SSH2,CD47,ESYT2,PTPRJ
ZDHHC23,TSC22D1,HMGB3,AGO1
TP53INP2,CCDC121,FAM117A,ZFAND5
NR3C2,PANX2,MEGF10,CEP128
C8orf48,CORIN,SLC1A3,KIAA1462
CD47,CPEB4,FAM218A,CA7
GLI3,LRP5,SH2D3A,GYPE
MAP1A,CCDC88A,OLIG1,ERO1L
SLC25A23,ZBTB38,FAM196A,FBXO5
EIF4EBP2,CYLD,SURF4,ABHD2
TGFA,FBRS,GFOD1,TMEM42
ANKRD36B,ESCO2,RIPK2,SLC35F3
CCDC71L,DPY19L1,OLIG2,NEU3
PDLIM3,Blank-1922,F13A1,KDSR
POTEI,PHTF1,XRCC3,KIRREL3
CASD1,KLF3,TAL1,RPS29
CACNA2D1,MAF,HOXB13,Blank-9109
STRA6,THAP9,TOR2A,TAF5
E2F8,LMBRD2,DDX10P2,FAM78B
PDE5A,E2F1,Blank-1762,TBKBP1
NUP210,COA1,RANGAP1,SLC10A5
XRCC3,ERAP1,CXorf67,MICALCL
XK,BCRP2,RPL27A,INTS3
ABCC3,YPEL1,SOWAHC,HOXC8
SCD5,PPIP5K2,SGK494,SLCO1B7
YJEFN3,GMEB1,LIFR,DLEU2L
LOXL2,SERTAD1,Blank-1926,ARID1B
CRIM1,DIRC2,SYPL1,CACNB3
CHSY3,C1QTNF2,Blank-2044,GLIS2
SHROOM3,NUDT4,GPRC5A,STK31
SLC5A3,PCDH7,CDH11,DDO
STK32A,TMEM40,EDN1,ADAM32
DPYSL3,TRANK1,CEACAM19,AFF2
APOL6,B3GNTL1,SIPA1L1,PSTPIP2
NAP1L5,RHBDL3,DNM1P41,ZFRP1
POLI,CTHRC1,DYSF,NEDD4L
MMD,SH2D2A,FRAT2,AIG1
ARHGAP29,FER1L6,SLCO2A1,MVK
ALOX5,DNAJA4,TOR1B,SCARF1
FGF2,SHISA2,EHD2,ARL5B
FXYD6,VASN,PGM5,GATA3
GALNT16,ZNF80,TSPYL4,EPHB3
TSPAN5,LTB4R,LRRC75B,ERCC2
SLCO2A1,PAPL,ROR1,SYNE1
RIMKLBP1,ADAMTS15,PDP2,HAUS6P2
ACTG1P9,BLM,ZNF773,ACER2
LRRC4B,GOLIM4,TIMP3,Blank-1331
GNAQ,MVK,BDNF,TMED10
DLC1,FAM212B,MYCN,TMEM154
SNTB1,OR4F13P,GPRIN1,TSC22D3
Blank-0464,SFPQ,GEM,CD44
GALNT10,GLRB,ADAP2,GNAS
ORAI2,HIST1H2AG,TMEM74,PTER
LZTS1,PGM2,NR1D1,NUAK2
ITGB8,GABARAPL1,GREM2,PAFAH1B1
ETV1,TOX3,PROCR,ELP2
THEM6,VWA5A,NLK,ZG16
COL6A3,GNAS,MYLK2,PLCB1
TPM1,PHF2P2,MCOLN2,KCNB1
LOXL1,HADH,DAW1,RBM26
DGKH,C1orf204,MAOA,TXNIP
